"date_farmed","source","scraped_url","d","e","f","g","h","i","j","k","l","post_date","n","job_title","p","job_type","description","s","t","salary","v","w_requirements","x_benefits","y","z","aa_state_province","ab_country","ac_region","business_name","ae_description","af_website","ag","ah","ai_country","company_url"
"29/12/2024","30s Jobs","https://30sjob.com/job/trained-coordinators/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Trained Coordinators","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/secondary-english-teaching-position-for-local-vietnamese-applicants/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Secondary English Teaching Position for Local Vietnamese Applicants","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/full-time-and-part-time-esl-teaching-positions-in-ho-chi-minh-city/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Full-Time and Part-Time ESL Teaching Positions in Ho Chi Minh City","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/kindergarten-native-esl-teacher-upto-3000/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Kindergarten Native ESL Teacher (Upto 3000$)","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/corporate-english-teacher/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Corporate English Teacher","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/personal-tutor-learner-service-2/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Personal Tutor ( Learner Service)","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/senior-study-abroad-counselor-expat/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","SENIOR STUDY ABROAD COUNSELOR (EXPAT)","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/recruit-teachers-public-school-in-ho-chi-minh-city/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Recruit Teachers Public School In Ho Chi Minh City","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/public-school-teacher-needed-in-ho-chi-minh-city/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","PUBLIC SCHOOL TEACHER NEEDED IN HO CHI MINH CITY","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/were-looking-for-an-online-part-time-full-time-english-teacher-15-20-usd-session/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","We’re Looking For An Online Part-time/full-time English Teacher – 15-20 Usd/session","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/yola-test-prep-and-kids-teachers-needed-in-ho-chi-minh-2/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Yola – Test-Prep And Kids Teachers Needed In Ho Chi Minh","","Part Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/esl-english-teachers-salary-vnd28000000-46-000-000-1200-2000-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","ESL English Teachers – Salary: VND28,000,000 – 46.000.000 ($1200-$2,000)/Month.","","Full Time","","","","","","","","","","Thái Bình","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/5-full-time-positions-for-americans-canadians-in-ho-chi-minh-city/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","5 Full-Time Positions for Americans & Canadians in Ho Chi Minh City","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/need-1-on-1-online-teachers-with-attractive-salary/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Need 1 On 1 Online Teachers With Attractive Salary.","","Part Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-in-ha-noi-part-time/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching In Ha Noi (Part-Time)","","Part Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/english-instructors-at-pubic-school-hcmc-20-usd-15-hours-week/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","English Instructors At Pubic School HCMC: 20 USD, 15 Hours/Week","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/english-teaching-positions-at-hanoi-hai-duong-city-and-quang-ninh-salary-rate-20-21-hour-net/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","English Teaching Positions At Hanoi, Hai Duong City And Quang Ninh – Salary: Rate: $20-21 /hour (NET)","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-in-dong-nai-and-ho-chi-minh-city-competitive-hourly-rate-of-up-to-480000-vnd-hour-1900usd-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching In Dong Nai And Ho Chi Minh City – Competitive Hourly Rate Of Up To 480,000 VND/Hour (1900USD/Month)","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-in-ha-nai-salary-2-100-usd-2-500-usd-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching In HÃ Ná»™i – Salary: 2.100 USD – 2.500 USD/month.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-english-and-science-in-hanoi-salary-start-from-2300-gross-usd-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching English And Science In Hanoi – Salary: Start From 2,300 (Gross) Usd/Month.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/head-of-kindergarden-preschool-director/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Head of Kindergarden (Preschool Director)","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/science-teacher-in-ha-noi-the-11th-salary-as-bonus/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Science Teacher In Ha Noi – The 11th Salary As Bonus.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/deputy-superintendent-of-academics/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Deputy Superintendent of Academics","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/need-english-teachers-in-vietnam-salary-400-000vnd-per-hour-450-000vnd-per-hour/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Need English Teachers In Vietnam – Salary: 400.000VND Per Hour – 450.000VND Per Hour.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-at-da-nang-competitively-net-salary-work-permit-trc-support/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching At Da Nang – Competitively NET Salary – Work Permit & TRC Support.","","Full Time","","","","","","","","","","Đà Nẵng","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-research-and-business-in-ha-noi-minimum-550k-vnd-hour-net/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching Research And Business In Ha Noi – Minimum 550k VND / Hour (Net).","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-in-ho-chi-minh-work-permit-and-visa-support-competitive-salary/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching In Ho Chi Minh – Work Permit And Visa Support – Competitive Salary.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/recruiting-english-teachers-for-children-salary-500-000-vnd-hour-gross-signing-bonus-5-000-000-vnd/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Recruiting English Teachers For Children – Salary: 500.000 VND/hour (Gross) – Signing Bonus : 5.000.000 VND","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/hcm-penguin-english-were-hiring-english-teachers-up-to-vnd550000-per-teaching-hour/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","[HCM – Penguin English] We’re Hiring English Teachers! Up To VND550,000 Per Teaching Hour.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/english-teacher-in-ho-chi-minh-city-great-pay-good-performance-bonus/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","English Teacher In Ho Chi Minh City – Great Pay Good Performance Bonus.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/expatriate-teacher-for-pre-school-job-in-binh-duong-province-remuneration-usd-2000-2500/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Expatriate Teacher for Pre-school Job in Binh Duong Province – Remuneration USD $2000 – $2500.","","Full Time","","","","","","","","","","Bình Dương","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/recruiting-english-teachers-to-teach-in-ha-noi-competitive-salary/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Recruiting English Teachers To Teach In Ha Noi – Competitive Salary.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/need-ielts-teacher-in-ha-noi/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Need Ielts Teacher In Ha Noi.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/need-nes-english-teachers-in-ho-chi-minh-350000-500000-vnd-per-teaching-hour/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Need NES English Teachers In Ho Chi Minh – 350,000 – 500,000 VND Per Teaching Hour.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/need-nes-english-teachers-up-to-2000-per-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Need NES English Teachers – Up To $2000 Per Month.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-english-through-maths-and-science-and-general-english-in-hcmc-binh-duong-tay-ninh/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching English through Maths and Science and General English In HCMC, Binh Duong, Tay Ninh.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/needed-native-english-teachers-at-ismart-education-ho-chi-minh-city-2/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Needed Native English Teachers At Ismart Education (Ho Chi Minh city)","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/recruiting-teachers-in-quang-ngai-salary-net-1800-2500-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Recruiting Teachers In Quang Ngai – Salary: Net $1800-2500/Month.","","Full Time","","","","","","","","","","Quảng Ngãi","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/iig-academy-is-now-recruiting-primary-secondary-and-high-school-teachers-at-hanoi-starting-from-21-30-hour/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","IIG Academy Is Now Recruiting Primary, Secondary And High School Teachers At Hanoi – Starting From $21 – $30/hour.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-in-ha-noi-up-to-750000-vnd-per-hour-based-on-experience/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching In Ha Noi – Up To 750,000 VND Per Hour (Based On Experience)","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/up-to-750000-vnd-per-hour-teaching-in-ha-noi/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Up To 750,000 VND Per Hour – Teaching In Ha Noi.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-in-hanoi-hourly-rate-part-time-444-000-555-000-vnd-per-hour-full-time-from-36m-vnd-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching In Hanoi – Hourly Rate: – Part-Time: 444.000 – 555.000 VND Per Hour – Full-Time: from 36m VND/month.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/poly-educational-service-fulltime-part-time/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Poly Educational Service ( Fulltime & Part-Time )","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teach-english-from-kindergarten-to-high-school-in-hanoi/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teach English From Kindergarten To High School In Hanoi.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/need-esl-cambridge-ipc-teachers-in-ha-noi/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Need ESL, Cambridge, IPC Teachers In Ha Noi","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/school-seeking-english-speaking-teacher-of-technologies-salary-20-hour/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","School Seeking English-Speaking Teacher Of Technologies – Salary: $20/Hour.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/full-time-need-teachers-for-english-math-science/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","FULL-TIME Need Teachers For English, Math, Science.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/we-are-looking-for-english-maths-and-science-teacher-in-hcm-city/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","We Are Looking For English, Maths And Science Teacher In HCM City.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teach-english-maths-and-science-for-students-from-primary-to-high-school-level/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teach English, Maths And Science For Students From Primary To High School Level.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teach-english-maths-and-science-in-hcmc-competitive-contracted-salary-sponsored-visa-and-work-permit/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teach English, Maths And Science In HCMC – Competitive Contracted Salary – Sponsored Visa And Work Permit.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/esl-teacher-for-plenty-of-levels-in-hcmc-salary-ranged-from-1500-2000-usd-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","ESL Teacher For Plenty Of Levels In HCMC – Salary Ranged From 1500-2000 USD/Month.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/recruiting-english-teachers-in-quang-ninh-salary-1500us-2000us-teaching-experience-1-year-preferred/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Recruiting English Teachers In Quang Ninh – Salary: 1500US – 2000US – Teaching Experience: 1 Year (Preferred).","","Full Time","","","","","","","","","","Quảng Ninh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-english-for-children-and-teenager-learners-high-salaries-and-benefits/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching English For Children And Teenager Learners – High Salaries And Benefits.","","Full Time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/recruiting-teacher-of-english-literature-mathematics-and-science-in-ho-chi-minh-city/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Recruiting Teacher of English Literature, Mathematics and Science in Ho Chi Minh City.","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/primary-secondary-english-maths-science-tutors/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Primary/Secondary English, Maths & Science Tutors","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/hot-full-time-foreign-teacher-competitive-net-income-work-permit-visa-trc-support-remuneration/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Hot Full – Time Foreign Teacher – Competitive NET Income – Work Permit, Visa/TRC Support & Remuneration","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/efl-part-time-teachers-needed-atlantic-school-link-in-da-nang-aug-sep-start/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","EFL Part time Teachers Needed- Atlantic School Link in Da Nang- Aug/Sep Start","","Part Time","","","","","","","","","","Đà Nẵng","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/a-business-english-instructor-in-ho-chi-minh-city-highly-competitive-remuneration-based-on-practical-experience/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","A Business English Instructor In Ho Chi Minh City – Highly Competitive Remuneration Based On Practical Experience .","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/teaching-english-online-via-sky-salary-1000usd-month/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching English Online Via Sky – Salary: 1000USD++/month","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
